variable,time_frame,scenario,forcing,time_period,link
pr,historical,historical,gfdl-esm4,1981_1990,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_historical_pr_global_daily_1981_1990.nc
pr,historical,historical,gfdl-esm4,1991_2000,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_historical_pr_global_daily_1991_2000.nc
pr,historical,historical,gfdl-esm4,2001_2010,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_historical_pr_global_daily_2001_2010.nc
pr,historical,historical,gfdl-esm4,2011_2014,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4/gfdl-esm4_r1i1p1f1_w5e5_historical_pr_global_daily_2011_2014.nc
pr,historical,historical,ipsl-cm6a-lr,1850_1850,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1850_1850.nc
pr,historical,historical,ipsl-cm6a-lr,1851_1860,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1851_1860.nc
pr,historical,historical,ipsl-cm6a-lr,1861_1870,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1861_1870.nc
pr,historical,historical,ipsl-cm6a-lr,1871_1880,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1871_1880.nc
pr,historical,historical,ipsl-cm6a-lr,1881_1890,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1881_1890.nc
pr,historical,historical,ipsl-cm6a-lr,1901_1910,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1901_1910.nc
pr,historical,historical,ipsl-cm6a-lr,1911_1920,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1911_1920.nc
pr,historical,historical,ipsl-cm6a-lr,1921_1930,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1921_1930.nc
pr,historical,historical,ipsl-cm6a-lr,1931_1940,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1931_1940.nc
pr,historical,historical,ipsl-cm6a-lr,1941_1950,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1941_1950.nc
pr,historical,historical,ipsl-cm6a-lr,1951_1960,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1951_1960.nc
pr,historical,historical,ipsl-cm6a-lr,1961_1970,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1961_1970.nc
pr,historical,historical,ipsl-cm6a-lr,1971_1980,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1971_1980.nc
pr,historical,historical,ipsl-cm6a-lr,1981_1990,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1981_1990.nc
pr,historical,historical,ipsl-cm6a-lr,1991_2000,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_1991_2000.nc
pr,historical,historical,ipsl-cm6a-lr,2001_2010,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_2001_2010.nc
pr,historical,historical,ipsl-cm6a-lr,2011_2014,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_pr_global_daily_2011_2014.nc
pr,historical,historical,mpi-esm1-2-hr,1850_1850,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1850_1850.nc
pr,historical,historical,mpi-esm1-2-hr,1851_1860,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1851_1860.nc
pr,historical,historical,mpi-esm1-2-hr,1861_1870,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1861_1870.nc
pr,historical,historical,mpi-esm1-2-hr,1871_1880,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1871_1880.nc
pr,historical,historical,mpi-esm1-2-hr,1881_1890,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1881_1890.nc
pr,historical,historical,mpi-esm1-2-hr,1901_1910,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1901_1910.nc
pr,historical,historical,mpi-esm1-2-hr,1911_1920,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1911_1920.nc
pr,historical,historical,mpi-esm1-2-hr,1921_1930,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1921_1930.nc
pr,historical,historical,mpi-esm1-2-hr,1931_1940,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1931_1940.nc
pr,historical,historical,mpi-esm1-2-hr,1941_1950,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1941_1950.nc
pr,historical,historical,mpi-esm1-2-hr,1951_1960,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1951_1960.nc
pr,historical,historical,mpi-esm1-2-hr,1961_1970,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1961_1970.nc
pr,historical,historical,mpi-esm1-2-hr,1971_1980,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1971_1980.nc
pr,historical,historical,mpi-esm1-2-hr,1981_1990,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1981_1990.nc
pr,historical,historical,mpi-esm1-2-hr,1991_2000,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_1991_2000.nc
pr,historical,historical,mpi-esm1-2-hr,2001_2010,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_2001_2010.nc
pr,historical,historical,mpi-esm1-2-hr,2011_2014,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_pr_global_daily_2011_2014.nc
pr,historical,historical,mri-esm2-0,1850_1850,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1850_1850.nc
pr,historical,historical,mri-esm2-0,1851_1860,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1851_1860.nc
pr,historical,historical,mri-esm2-0,1861_1870,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1861_1870.nc
pr,historical,historical,mri-esm2-0,1871_1880,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1871_1880.nc
pr,historical,historical,mri-esm2-0,1881_1890,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1881_1890.nc
pr,historical,historical,mri-esm2-0,1901_1910,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1901_1910.nc
pr,historical,historical,mri-esm2-0,1911_1920,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1911_1920.nc
pr,historical,historical,mri-esm2-0,1921_1930,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1921_1930.nc
pr,historical,historical,mri-esm2-0,1931_1940,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1931_1940.nc
pr,historical,historical,mri-esm2-0,1941_1950,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1941_1950.nc
pr,historical,historical,mri-esm2-0,1951_1960,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1951_1960.nc
pr,historical,historical,mri-esm2-0,1961_1970,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1961_1970.nc
pr,historical,historical,mri-esm2-0,1971_1980,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1971_1980.nc
pr,historical,historical,mri-esm2-0,1981_1990,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1981_1990.nc
pr,historical,historical,mri-esm2-0,1991_2000,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_1991_2000.nc
pr,historical,historical,mri-esm2-0,2001_2010,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0/mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily_2001_2010.nc
